name,age,income,profession,date,location,new_cases,total_cases,new_death,total_death,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccines,new_test,total_test,test_per_case,positive_rate,negative_rate,hospitalised_patients,icu_patients,population,median_age,age > 65,people_with_past_diseases,immunity_strength
Anna Clark,34,49603,Engineer,2020-01-21,UK,520,10578,13,241,122808,269052,24088,528911,95891,839091,24.8,0.0201,0.9305,1054,486,1256899939,31.7,14.1,13.03,48.13
Chris Garcia,32,33996,Business Analyst,2020-01-22,India,480,11057,13,251,471560,35412,69464,551088,8645,854851,25.56,0.1256,0.9721,1362,268,856030006,28.3,20.58,12.95,87.28
Alex Taylor,31,91890,Scientist,2020-01-23,Australia,501,11546,11,263,88591,395463,291328,790157,43238,866677,12.72,0.1459,0.8709,2075,102,1016347277,48.0,8.07,3.71,45.96
Emily Clark,31,96765,Doctor,2020-01-24,Germany,497,12083,9,276,234213,350854,152171,579827,70694,954498,29.91,0.0808,0.9111,3183,812,1121523910,34.1,6.9,1.75,77.57
Michael Smith,62,78558,Software Developer,2020-01-25,Canada,528,12577,14,281,495417,258928,222578,253259,42773,1001273,22.72,0.1391,0.8023,3623,792,985263509,32.7,22.54,14.33,35.85
Chris Clark,55,67520,Doctor,2020-01-26,India,477,13086,10,295,276441,217104,223352,677960,17786,1076949,22.89,0.1455,0.8631,4271,542,793369404,46.4,5.62,3.22,70.97
John Garcia,80,79196,Business Analyst,2020-01-27,Australia,487,13586,8,305,119513,7928,38739,629451,41693,1084747,18.77,0.1877,0.8118,3721,583,931068954,40.1,24.45,3.41,48.84
Laura Johnson,28,26044,Police Officer,2020-01-28,Brazil,495,14059,9,316,400812,332302,140461,266765,97447,1151850,1.83,0.0223,0.8992,4991,348,96534026,29.2,18.44,4.56,94.81
John Miller,65,85387,Business Analyst,2020-01-29,France,490,14554,16,329,358623,166704,18352,704729,27578,1230010,26.58,0.0465,0.9553,1846,933,811200995,35.5,13.39,2.86,50.28
Chris Williams,43,43809,Sales Executive,2020-01-30,Russia,508,15074,5,337,108752,37309,127788,772341,47408,1308761,17.43,0.023,0.8392,4324,269,230054011,48.2,7.83,12.88,57.89
David Taylor,84,34299,Teacher,2020-01-31,Canada,525,15553,10,349,146080,276424,32828,298833,70702,1383263,1.06,0.1749,0.9002,1654,246,923861407,47.5,19.46,9.02,88.85
John Miller,42,80247,Scientist,2020-02-01,Brazil,486,16047,5,363,227885,45449,69040,58469,85845,1435673,16.09,0.1606,0.8388,1952,150,186943559,26.8,16.26,6.06,60.68
David Jones,78,77763,Teacher,2020-02-02,UK,502,16532,8,372,387625,294101,95430,509155,16076,1477561,14.65,0.1192,0.8229,4049,984,1168288377,31.7,19.22,9.37,46.69
Michael Clark,43,63647,Police Officer,2020-02-03,Brazil,499,17072,12,382,157892,172967,228603,676318,20377,1527608,20.28,0.0259,0.8971,4638,956,466588307,28.9,13.36,17.04,68.33
Chris Smith,51,74564,Software Developer,2020-02-04,France,518,17573,10,387,474764,337643,116957,274905,10278,1623897,7.46,0.0619,0.815,3554,953,1087624455,38.3,6.33,18.61,88.8
Chris Williams,26,83481,Doctor,2020-02-05,UK,489,18119,9,400,163325,98057,18748,795318,65808,1670852,25.88,0.0666,0.9116,2669,688,1194539093,43.7,11.3,10.26,60.32
Alex Williams,57,33857,Nurse,2020-02-06,Canada,517,18634,8,407,432418,234223,89636,744434,34539,1673834,34.93,0.1165,0.806,2399,489,1008688922,32.4,11.3,11.77,39.3
Alex Brown,24,39503,Sales Executive,2020-02-07,France,533,19131,9,417,432452,377209,165763,80021,12440,1708698,31.88,0.059,0.8203,4414,588,1342613793,43.9,5.17,5.89,56.82
Laura Garcia,47,66217,Scientist,2020-02-08,USA,525,19627,9,423,77156,157767,116158,502156,27245,1788816,40.38,0.0239,0.9045,4769,359,86034900,41.7,5.19,10.76,96.81
Michael Smith,83,26982,Teacher,2020-02-09,Russia,494,20110,12,434,252960,79893,220589,201854,23097,1875306,23.15,0.1488,0.9124,2722,579,317729102,43.2,11.62,15.21,35.04
Laura Williams,47,67828,Engineer,2020-02-10,Canada,483,20570,11,444,70263,292320,197354,488735,74703,1915571,26.44,0.0668,0.8055,868,733,805942724,48.7,19.55,10.35,58.59
Alex Garcia,85,54262,Sales Executive,2020-02-11,USA,500,21094,7,460,391140,154481,230316,251979,68092,1962884,40.71,0.096,0.9089,2727,139,817704613,35.6,17.48,6.74,75.36
Chris Davis,75,24880,Doctor,2020-02-12,Australia,489,21616,7,471,109252,260536,192432,568930,2151,2008234,21.96,0.0343,0.9593,597,546,761383943,33.6,9.78,12.06,35.5
Laura Johnson,72,99074,Sales Executive,2020-02-13,Canada,532,22125,14,478,128632,324111,273390,361147,22698,2024612,35.38,0.1625,0.9372,4482,20,104465618,42.1,17.06,18.99,54.15
Emily Williams,31,8559,Police Officer,2020-02-14,Australia,515,22609,3,484,346999,5987,242851,668002,18601,2095427,22.3,0.1175,0.8249,408,266,914767172,45.2,17.95,17.87,95.84
Alex Smith,54,37549,Engineer,2020-02-15,UK,547,23097,11,498,26575,203573,60395,544493,27807,2124351,21.47,0.1813,0.9126,3411,825,265842006,29.8,15.45,15.62,32.14
Laura Davis,61,36159,Software Developer,2020-02-16,USA,494,23558,10,508,284348,241692,164558,32442,46302,2207944,38.25,0.1041,0.9277,1974,378,996228173,46.2,15.43,6.25,82.62
Emily Williams,23,51370,Engineer,2020-02-17,Russia,463,24048,9,516,21952,363998,223143,767004,86864,2216256,9.57,0.1889,0.8071,4961,953,178387785,26.4,12.39,5.59,88.9
Michael Brown,43,60289,Software Developer,2020-02-18,France,516,24569,10,528,93323,31015,263113,58909,9039,2247609,17.59,0.1795,0.9625,4505,403,1166521036,25.2,7.47,16.93,49.39
Alex Garcia,31,88075,Police Officer,2020-02-19,Italy,470,25059,6,535,192214,379494,278004,301648,48427,2335059,11.98,0.1195,0.9722,4492,602,629185982,29.0,12.71,4.45,45.03
Anna Williams,25,79740,Software Developer,2020-02-20,Brazil,509,25553,12,548,174944,333548,18013,477486,72839,2352251,18.6,0.1874,0.9616,4697,807,789867477,49.5,11.91,12.51,94.04
Michael Johnson,41,3252,Engineer,2020-02-21,India,536,26039,6,560,170448,121751,34542,115698,59049,2370701,12.29,0.0714,0.9567,2751,428,275479396,38.1,16.84,9.34,83.48
Jane Smith,56,10866,Software Developer,2020-02-22,Russia,489,26533,10,572,207156,395951,25935,780392,20053,2377133,29.39,0.0795,0.9415,1980,891,762127966,26.2,22.13,9.89,37.94
Sarah Johnson,66,38997,Farmer,2020-02-23,USA,491,27025,9,588,152712,186353,50079,724690,98180,2435358,40.11,0.0186,0.9204,471,28,593182442,49.9,12.51,9.64,44.85
Michael Davis,80,91336,Business Analyst,2020-02-24,Italy,524,27520,8,597,298581,53231,35111,107087,87298,2532906,39.54,0.1219,0.9289,385,119,180877341,43.6,19.19,18.1,73.49
David Brown,43,8553,Software Developer,2020-02-25,Russia,519,28048,8,607,137129,165104,207769,229991,90147,2632897,18.86,0.1472,0.9532,1576,446,732066275,46.0,21.24,2.65,59.36
David Smith,27,33831,Engineer,2020-02-26,USA,528,28568,11,619,359825,295449,219008,757392,56413,2712608,49.45,0.157,0.9259,106,514,285379426,30.3,9.24,15.88,65.29
Anna Johnson,75,68323,Business Analyst,2020-02-27,Germany,469,29071,13,625,264522,59306,41565,61716,66958,2779212,30.1,0.0385,0.8623,4000,43,96436910,27.6,23.03,16.87,96.61
Emily Jones,31,45810,Business Analyst,2020-02-28,Germany,477,29565,13,633,17903,224248,20283,225696,32275,2790507,20.57,0.0944,0.8714,3197,297,1079350915,37.9,6.41,18.91,59.42
Jane Davis,88,59719,Engineer,2020-02-29,Australia,501,30096,13,646,224776,126139,232362,198054,27597,2798281,41.94,0.0436,0.9704,3587,853,294820788,44.3,23.03,9.6,91.72
Chris Johnson,56,12726,Nurse,2020-03-01,Russia,513,30605,14,656,36863,23318,87916,178516,78521,2811471,36.76,0.1358,0.8033,771,264,187695342,40.9,8.27,10.5,76.25
Emily Jones,48,70451,Police Officer,2020-03-02,Germany,480,31074,8,661,315525,149318,80552,717105,95243,2843757,37.71,0.04,0.9328,4127,647,1276715845,40.8,11.74,19.26,38.51
John Davis,67,48423,Doctor,2020-03-03,USA,495,31561,7,666,300692,168674,39233,54571,69908,2921082,10.61,0.1818,0.9814,435,730,1179661787,43.9,17.1,9.71,82.12
Anna Jones,33,1092,Doctor,2020-03-04,Australia,534,32043,11,678,453172,288728,285839,243023,82619,3016532,23.95,0.0538,0.9342,2867,143,1127143773,30.7,23.11,10.57,66.41
Sarah Johnson,89,77470,Business Analyst,2020-03-05,USA,512,32532,10,687,477742,252399,127440,759578,56188,3115012,43.23,0.0654,0.9888,2937,508,95415002,41.5,10.11,7.31,45.76
David Taylor,68,30995,Police Officer,2020-03-06,Australia,502,33026,8,696,21467,20169,174806,589326,35710,3188439,25.7,0.1717,0.9306,2769,406,114897579,34.8,20.27,1.6,50.27
Anna Smith,32,99005,Software Developer,2020-03-07,Russia,500,33555,9,708,330098,30968,264649,617083,92352,3276952,34.49,0.0971,0.8065,309,496,234080866,26.7,19.21,9.23,69.01
Michael Miller,55,63957,Farmer,2020-03-08,Italy,494,34049,12,713,296045,209830,2010,753442,76486,3341966,29.81,0.0146,0.9571,4538,607,219496043,30.1,8.19,13.45,72.12
Jane Jones,88,2677,Scientist,2020-03-09,France,515,34528,8,719,459199,389828,245300,87690,50050,3438853,42.28,0.104,0.8541,649,596,939228434,44.9,14.59,14.11,97.77
Jane Brown,89,94778,Nurse,2020-03-10,Canada,472,35031,7,726,295445,120391,131560,555518,50249,3515705,14.94,0.0261,0.8848,3305,969,153123357,47.4,14.63,1.12,89.83
Michael Taylor,38,22892,Teacher,2020-03-11,Italy,484,35544,15,736,396830,292588,151933,156974,35247,3571961,29.2,0.1972,0.8593,1089,656,524342821,32.1,11.09,16.22,44.41
Anna Johnson,33,23114,Police Officer,2020-03-12,UK,483,36087,9,747,243614,239856,256182,47050,71162,3671704,7.04,0.1217,0.851,4098,822,1057205215,29.8,20.6,10.36,84.18
Emily Johnson,84,37632,Nurse,2020-03-13,USA,500,36556,19,757,357324,373225,141441,381949,27408,3731334,34.82,0.0587,0.882,805,694,838016551,25.7,23.52,10.89,30.58
Sarah Garcia,82,28057,Doctor,2020-03-14,UK,525,37068,10,767,79903,67497,158743,225658,77313,3823524,36.87,0.1171,0.872,3627,222,614089564,48.7,19.33,19.27,39.09
Laura Miller,30,63565,Scientist,2020-03-15,Italy,519,37575,6,781,376099,10362,65512,527728,71683,3887295,3.1,0.0246,0.9203,3207,842,1072688197,42.1,24.46,6.4,43.98
Anna Williams,81,61753,Software Developer,2020-03-16,Australia,490,38086,10,787,419420,366398,99026,96693,6443,3940010,34.11,0.162,0.9545,2808,359,1339109657,48.9,6.01,15.47,71.8
David Garcia,78,45031,Scientist,2020-03-17,Canada,477,38617,11,793,29755,144322,76656,563863,1079,3948476,21.32,0.1858,0.8564,526,28,32432730,46.6,5.74,11.92,43.63
Sarah Smith,49,51049,Scientist,2020-03-18,Canada,519,39131,7,799,331961,73354,217831,734300,97818,3967113,7.08,0.1761,0.8406,1649,128,145263394,33.5,22.88,14.32,55.57
Michael Clark,29,61275,Software Developer,2020-03-19,India,525,39647,8,808,274237,41368,176210,322388,39345,4036858,21.58,0.0749,0.9267,2409,824,557429083,27.8,22.96,8.94,46.99
Alex Garcia,58,48881,Scientist,2020-03-20,Canada,537,40164,5,821,266094,49109,185492,496697,13901,4074175,10.52,0.0719,0.9274,1311,311,542356879,37.5,7.14,6.3,53.62
Jane Smith,83,53865,Police Officer,2020-03-21,France,507,40694,14,831,472753,193717,278633,297106,68759,4124941,21.36,0.0167,0.9712,1632,294,682938961,25.7,12.15,11.38,95.97
John Johnson,25,98068,Teacher,2020-03-22,Canada,493,41164,10,843,368463,32426,60789,251898,43732,4129019,19.83,0.1338,0.803,2888,236,886471274,28.7,21.71,8.12,99.82
Anna Garcia,76,51684,Nurse,2020-03-23,Italy,472,41666,11,853,295084,384776,70925,382839,80304,4157318,37.18,0.1116,0.9621,4875,516,172255896,30.8,7.57,5.24,78.0
Michael Davis,42,56687,Police Officer,2020-03-24,India,484,42189,5,859,476562,117637,77625,792723,18507,4161861,38.94,0.0973,0.899,3620,510,1087997769,41.6,10.35,16.95,70.06
Jane Brown,22,76705,Nurse,2020-03-25,Italy,475,42688,11,870,185112,44023,252518,267943,82785,4257488,30.74,0.1824,0.918,1548,221,1121933464,37.7,18.62,10.04,79.59
Emily Johnson,62,57438,Business Analyst,2020-03-26,Italy,474,43182,14,879,440538,389412,190300,110388,36391,4309540,2.11,0.0419,0.8174,798,365,1271671083,32.6,24.64,17.1,84.02
Jane Miller,19,58314,Engineer,2020-03-27,Brazil,498,43661,8,885,138714,160964,4051,771580,35171,4405023,46.62,0.0118,0.8822,4861,710,949814979,39.1,20.94,10.01,81.73
David Garcia,59,51503,Engineer,2020-03-28,India,490,44160,16,890,101544,376355,170162,97332,52730,4428087,34.63,0.0239,0.8432,2436,496,707792164,28.1,20.55,11.58,35.73
Laura Williams,55,31740,Teacher,2020-03-29,Italy,514,44676,12,898,94437,99897,29805,728854,8485,4501374,2.68,0.0524,0.8483,580,330,14178962,43.9,11.85,19.91,51.72
Jane Davis,20,47176,Farmer,2020-03-30,Brazil,497,45179,8,910,365113,152079,95978,327181,96320,4582816,41.12,0.0163,0.8958,4837,672,845303264,42.8,18.23,19.08,54.04
Laura Smith,63,11030,Police Officer,2020-03-31,Brazil,461,45676,8,922,117001,84777,51241,132666,91153,4667448,10.81,0.1055,0.9544,2259,232,752389537,30.4,7.26,6.16,55.85
Chris Clark,39,77288,Teacher,2020-04-01,India,566,46222,5,932,97725,49858,128838,671336,38748,4682873,29.38,0.0697,0.9413,4113,649,422413067,40.2,24.85,17.5,54.1
Chris Jones,50,8051,Teacher,2020-04-02,UK,467,46719,6,937,387928,225510,66994,365184,4878,4735354,23.87,0.0443,0.9123,3918,769,1002670430,37.6,14.61,8.42,85.1
Anna Garcia,49,57010,Nurse,2020-04-03,Australia,520,47234,10,946,120675,357186,279210,655552,2949,4813701,21.57,0.1525,0.9025,1158,572,1093445519,26.5,17.78,2.35,82.33
Anna Davis,34,11589,Farmer,2020-04-04,France,501,47748,12,957,104266,350242,136793,705401,86380,4897815,44.6,0.0488,0.8812,539,200,919301168,32.0,22.52,11.94,30.32
Emily Taylor,73,12395,Business Analyst,2020-04-05,Australia,509,48239,11,965,281380,25239,269448,435019,21881,4971132,22.43,0.1406,0.9848,54,509,801432569,50.0,5.02,19.56,50.75
Anna Williams,20,13833,Doctor,2020-04-06,Canada,515,48729,16,973,344741,378095,243941,482122,52306,5058958,4.69,0.0764,0.9064,125,504,274412037,27.5,24.52,19.51,73.66
John Taylor,87,67134,Business Analyst,2020-04-07,France,510,49221,9,984,225196,46291,43967,415124,88150,5110488,47.39,0.1072,0.8483,2778,246,140355260,37.7,12.18,3.4,38.42
Chris Taylor,66,80903,Scientist,2020-04-08,Canada,450,49747,8,990,144974,43805,232296,188147,90364,5192587,46.11,0.1874,0.8437,522,31,973685243,46.2,11.79,15.65,34.98
Sarah Miller,72,19428,Scientist,2020-04-09,Italy,498,50256,11,1004,109656,103831,72834,215659,10958,5219475,34.54,0.0171,0.9162,3259,631,110929646,32.5,7.9,16.25,87.99
Michael Brown,48,17642,Business Analyst,2020-04-10,USA,469,50723,12,1018,306508,154515,118771,335792,60185,5247966,23.93,0.1051,0.8993,1431,336,597768235,31.5,22.16,8.01,61.69
Alex Williams,38,87491,Business Analyst,2020-04-11,India,478,51228,11,1028,117071,14290,76842,565422,9697,5281318,5.55,0.1723,0.8015,887,554,1017008783,47.3,22.42,13.51,89.9
Emily Smith,33,41771,Teacher,2020-04-12,France,495,51731,10,1037,366554,398427,3589,790545,88160,5303994,39.75,0.1217,0.9577,652,136,1259916651,32.6,5.4,10.28,87.65
Sarah Johnson,34,11097,Engineer,2020-04-13,France,517,52221,12,1048,161168,350778,232617,89123,16493,5370830,4.7,0.0626,0.9338,1236,374,788811218,41.3,6.11,5.33,92.54
Sarah Brown,18,79743,Police Officer,2020-04-14,Italy,497,52739,7,1062,153092,286216,55918,508775,43801,5409293,4.36,0.0856,0.9257,1531,877,948860784,43.5,23.37,15.46,33.38
Alex Smith,89,89096,Scientist,2020-04-15,UK,509,53218,17,1066,68473,310434,8711,196225,22199,5459283,27.33,0.1393,0.8131,3322,53,76726333,44.7,7.46,5.99,43.03
Sarah Smith,82,24426,Farmer,2020-04-16,Brazil,491,53711,6,1078,251472,90186,218972,677773,66792,5546827,8.85,0.1793,0.8688,281,528,639076247,49.9,17.42,7.47,50.73
John Taylor,83,67333,Business Analyst,2020-04-17,Italy,499,54201,5,1088,316297,282259,195399,241646,35488,5611454,1.38,0.0178,0.9777,377,137,160232569,45.1,17.39,4.61,39.54
Anna Miller,54,44463,Software Developer,2020-04-18,Germany,502,54675,12,1096,182349,10149,231314,173627,31493,5632675,21.73,0.0236,0.9639,999,612,112350874,41.4,22.39,14.67,63.98
Emily Brown,41,72249,Nurse,2020-04-19,Brazil,494,55182,8,1106,490437,309136,227218,424168,50002,5728545,7.72,0.0718,0.8543,1936,139,555991238,47.4,16.45,9.72,85.93
Sarah Miller,79,41079,Doctor,2020-04-20,India,522,55701,8,1114,310646,284860,4970,744353,24731,5815382,8.87,0.0542,0.8298,4145,538,697314867,47.6,13.68,9.42,96.58
Emily Jones,38,21404,Sales Executive,2020-04-21,Brazil,511,56204,11,1125,25675,364868,259989,487216,8076,5889225,4.77,0.0603,0.8853,2347,330,55415758,49.3,24.49,12.49,92.27
David Jones,54,72447,Farmer,2020-04-22,UK,501,56691,10,1139,427581,18621,122315,86686,2071,5941538,11.05,0.052,0.8676,1357,195,275152011,44.4,9.58,3.99,62.01
Anna Jones,52,4954,Nurse,2020-04-23,Brazil,530,57205,8,1151,491028,265800,145457,576552,68602,5971789,36.06,0.0472,0.9296,247,631,970507636,29.9,10.25,18.06,74.55
Chris Williams,55,70848,Engineer,2020-04-24,India,498,57711,8,1159,128384,380209,124252,256830,92181,6019375,40.64,0.0348,0.9836,4561,807,484876374,42.7,6.7,9.84,46.15
Sarah Jones,70,97411,Nurse,2020-04-25,UK,492,58217,13,1176,88229,297543,138022,460769,42410,6094793,23.17,0.1875,0.869,2829,991,543831436,26.9,24.51,7.96,58.21
Sarah Smith,32,56331,Software Developer,2020-04-26,Australia,458,58746,8,1182,99049,124374,233302,205431,55327,6149677,25.82,0.0374,0.8118,3386,357,1293298824,32.9,19.13,3.41,90.98
Chris Miller,59,56931,Engineer,2020-04-27,France,451,59263,9,1193,193220,310242,205583,773682,95948,6203297,2.6,0.0488,0.9705,1388,490,941481623,27.9,5.24,4.19,32.04
Jane Johnson,21,19440,Police Officer,2020-04-28,France,505,59768,17,1201,361301,312655,158833,160880,62072,6214337,4.4,0.0568,0.8072,1741,931,613809309,48.7,19.09,18.49,67.29
Alex Taylor,56,59407,Teacher,2020-04-29,Canada,493,60264,7,1210,230319,320387,196507,72330,98371,6287014,13.62,0.1873,0.981,265,684,1373969920,33.5,13.08,9.68,91.1
Alex Williams,40,82364,Scientist,2020-04-30,Australia,489,60821,7,1219,115711,382275,64944,658960,42041,6333892,27.65,0.1536,0.9263,1699,968,602587515,42.8,24.35,14.72,38.54
Emily Davis,32,31898,Nurse,2020-05-01,Australia,516,61324,11,1233,120090,295894,108437,320489,54326,6340861,37.24,0.16,0.9789,2912,596,929306428,39.3,10.55,2.53,98.78
Michael Davis,29,47720,Software Developer,2020-05-02,Brazil,498,61833,14,1237,365465,227682,127794,482833,39549,6355023,30.65,0.0299,0.8379,659,720,631821221,27.7,19.21,13.23,30.87
Jane Jones,87,46428,Teacher,2020-05-03,France,527,62314,6,1247,471294,322542,286024,583510,54096,6421458,20.21,0.1689,0.8077,2608,933,1340767308,39.0,17.55,18.51,92.03
David Jones,71,16427,Software Developer,2020-05-04,India,506,62838,10,1262,485814,218614,133633,77755,56578,6497125,6.8,0.0876,0.8928,967,930,163996118,41.5,5.24,6.7,54.76
Alex Williams,55,96177,Sales Executive,2020-05-05,Russia,536,63323,14,1271,211974,253797,54205,194811,47390,6503162,39.26,0.0599,0.8856,4302,966,183238624,47.0,22.7,12.0,39.29
Sarah Clark,45,23169,Engineer,2020-05-06,Russia,468,63847,17,1280,298609,311489,107948,198810,47052,6564688,18.83,0.1194,0.863,211,370,649016264,26.8,7.79,18.86,41.02
Chris Johnson,36,46419,Police Officer,2020-05-07,UK,521,64366,11,1288,304430,98430,65482,649425,44167,6653602,37.07,0.1662,0.982,4187,296,644712642,32.4,18.27,14.67,79.08
David Williams,86,52065,Farmer,2020-05-08,France,531,64863,10,1291,64795,119921,88154,235616,55587,6669295,26.14,0.1579,0.9563,2861,191,538369821,42.3,20.51,2.18,90.95
Anna Clark,81,68487,Scientist,2020-05-09,France,517,65383,7,1301,443394,96729,87066,380654,62292,6762457,37.19,0.1791,0.9257,3471,460,792301448,25.9,17.62,8.2,74.87
Anna Johnson,21,88490,Teacher,2020-05-10,Russia,494,65900,10,1308,380283,56843,219480,643539,93114,6822547,45.46,0.1863,0.8309,4265,106,231174206,30.1,6.94,2.63,95.01
Emily Johnson,27,80363,Nurse,2020-05-11,France,481,66380,13,1320,220255,146294,160402,690740,76419,6825998,46.13,0.0552,0.9395,1148,572,788407740,30.5,24.5,17.37,88.97
John Jones,29,75501,Farmer,2020-05-12,Brazil,469,66864,11,1327,113845,136458,129514,300356,43139,6892558,27.22,0.0905,0.9381,2771,323,745566638,41.7,9.74,12.81,30.63
Sarah Davis,86,99632,Engineer,2020-05-13,Germany,492,67396,10,1335,322130,331478,296121,310318,88753,6899520,26.06,0.0128,0.8808,2758,555,103024151,32.1,17.56,19.17,76.86
Sarah Johnson,24,9985,Farmer,2020-05-14,USA,521,67904,9,1343,446417,334314,5983,420077,11707,6997471,14.02,0.1771,0.9757,172,964,625843231,40.0,20.94,1.38,51.32
Laura Williams,61,33641,Sales Executive,2020-05-15,Australia,480,68424,10,1354,446531,45878,171981,681454,14140,7088023,46.85,0.0394,0.8317,2750,30,828351622,49.1,23.78,9.04,61.82
David Brown,40,23897,Teacher,2020-05-16,Canada,506,68903,7,1366,347540,205741,196552,648937,12093,7105467,23.44,0.1737,0.8508,3303,705,189709720,44.8,17.08,2.98,36.58
Alex Johnson,19,46652,Sales Executive,2020-05-17,UK,484,69419,6,1380,327322,174421,153401,595607,83036,7146910,7.25,0.0726,0.812,3111,814,139471349,33.3,10.18,7.66,49.75
Emily Smith,54,6973,Police Officer,2020-05-18,Germany,533,69930,7,1392,282889,236343,123668,722088,73043,7164416,22.2,0.0799,0.9511,4011,585,906451747,36.8,21.73,4.08,74.29
Alex Garcia,86,84330,Business Analyst,2020-05-19,Russia,508,70447,3,1405,264232,95352,168806,437579,99122,7203800,7.23,0.0174,0.9181,838,506,1082068889,30.0,8.26,7.25,45.29
Alex Miller,37,74250,Teacher,2020-05-20,Australia,528,70990,5,1410,263730,23383,206426,107846,6830,7302029,25.62,0.0721,0.8598,306,412,427602514,25.4,5.45,16.57,75.33
Laura Brown,61,67673,Police Officer,2020-05-21,France,493,71501,9,1415,213426,140973,208526,190372,31608,7327277,28.5,0.1788,0.8311,4075,133,668720123,32.2,23.16,4.05,94.61
Michael Johnson,87,55309,Teacher,2020-05-22,Canada,498,71999,6,1418,351781,310033,240026,74808,48287,7374439,17.55,0.0149,0.8076,3704,622,1006420196,34.2,16.51,10.0,30.35
Alex Johnson,68,57718,Business Analyst,2020-05-23,France,527,72486,8,1433,408244,19633,118512,231177,91047,7418129,4.51,0.0872,0.8317,3301,128,1150938031,39.1,6.39,18.51,85.0
